map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,featured,bar,food,lessons,leagues,24hrs,bays,Notes,details_desc,facility_img,facility_img2,facility_img3,facility_img4,map_link,active,facility_slug
https://www.google.ca/maps/place/Golf+Dome+%2FNational+Golf+Academy/data=!4m7!3m6!1s0x5371705c89383fe1:0xe286966de7b096e9!8m2!3d51.0095681!4d-114.0651277!16s%2Fg%2F1tgvd9fg!19sChIJ4T84iVxwcVMR6Zaw522WhuI?authuser=0&hl=en&rclk=1,Golf Dome /National Golf Academy,4.5,-98,Indoor golf course,4816 Centre St S W,,,,,,,,,,,,,,,"""New range balls and the golf simulators are fantastic.""",,,,,,,,
https://www.google.ca/maps/place/Golf+Fanatics+%28formerly+Golf+Future%29/data=!4m7!3m6!1s0x53717090e8cba3a5:0xb050837b2da8512a!8m2!3d50.9931679!4d-114.0258665!16s%2Fg%2F1ptzgx_s5!19sChIJpaPL6JBwcVMRKlGoLXuDULA?authuser=0&hl=en&rclk=1,Golf Fanatics (formerly Golf Future),4.3,-406,Golf driving range,7100 15 St SE,,,,,,,,,,,,,,,"""The simulators are high quality and the prices are super reasonable.""",,,,,,,,
https://www.google.ca/maps/place/Golf+It/data=!4m7!3m6!1s0x5373e1e11d4f3991:0xd662e418164fc629!8m2!3d51.3047352!4d-113.9817178!16s%2Fg%2F11jyg48cvc!19sChIJkTlPHeHhc1MRKcZPFhjkYtY?authuser=0&hl=en&rclk=1,Golf It,5,-44,Indoor golf course,101 Highland Park Common NE #1007,,,,,,,,,,,,,,,"""There are 4 bays and 2 private rooms.""",,,,,,,,
https://www.google.ca/maps/place/Golf+Park+-+Airdrie/data=!4m7!3m6!1s0x53715f183e97b815:0xa480549c746996cb!8m2!3d51.2621293!4d-114.0030886!16s%2Fg%2F11sg65ztsj!19sChIJFbiXPhhfcVMRy5ZpdJxUgKQ?authuser=0&hl=en&rclk=1,Golf Park - Airdrie,4.9,-62,Indoor golf course,2880 Main St S #1009,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Golf+Park+-+Brentwood/data=!4m7!3m6!1s0x53716f1e6cab2a7b:0x5125c94cb5a539a8!8m2!3d51.0849834!4d-114.1260128!16s%2Fg%2F11s8_278qd!19sChIJeyqrbB5vcVMRqDmltUzJJVE?authuser=0&hl=en&rclk=1,Golf Park - Brentwood,4.8,-104,Indoor golf course,3630 Brentwood Rd NW unit 230,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Golf+Park+-+Signal+Hill/data=!4m7!3m6!1s0x53716f163f5d06d3:0xe0c68ae53b22942!8m2!3d51.0215154!4d-114.1668101!16s%2Fg%2F11s4pjr2w1!19sChIJ0wZdPxZvcVMRQimyU65oDA4?authuser=0&hl=en&rclk=1,Golf Park - Signal Hill,4.6,-39,Indoor golf course,5466 Signal Hill Centre S W unit d,,,,,,,,,,,,,,,"""the spacious room offers very large screens and comfortable seating.""",,,,,,,,
https://www.google.ca/maps/place/Golf+Sweet+Indoor+Golf/data=!4m7!3m6!1s0x537167d98f48f62b:0xbbeebb5ee05fe477!8m2!3d51.1822022!4d-114.1580274!16s%2Fg%2F11lvqlsb4k!19sChIJK_ZIj9lncVMRd-Rf4F677rs?authuser=0&hl=en&rclk=1,Golf Sweet Indoor Golf,4.8,-31,Indoor golf course,335 Sage Vly Cmn NW #114,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/Golf+Traders+Indoor+Golf+Center/data=!4m7!3m6!1s0x53a01f00f32bb8bf:0x7382f36aecd44c79!8m2!3d53.4737586!4d-113.485382!16s%2Fg%2F11sfdnb70n!19sChIJv7gr8wAfoFMReUzU7GrzgnM?authuser=0&hl=en&rclk=1,Golf Traders Indoor Golf Center,4.6,-16,Indoor golf course,3865 99 St NW,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/GOLF360/data=!4m7!3m6!1s0x539ff50549ee9b5f:0x151eca0a75565095!8m2!3d53.4304197!4d-113.5905224!16s%2Fg%2F11jsfffssm!19sChIJX5vuSQX1n1MRlVBWdQrKHhU?authuser=0&hl=en&rclk=1,GOLF360,4.5,-79,Indoor golf course,6031 Andrews Way SW,,,,,,,,,,,,,,,"""Always very clean and the couches are very comfy!""",,,,,,,,
https://www.google.ca/maps/place/GolfSim/data=!4m7!3m6!1s0x537169bf42e0ea15:0x319eafc213e354f9!8m2!3d51.1116353!4d-114.2537959!16s%2Fg%2F11lgspm97c!19sChIJFergQr9pcVMR-VTjE8KvnjE?authuser=0&hl=en&rclk=1,GolfSim,5,-14,Indoor golf course,279 Tuscany Estates Rise NW,,,,,,,,,,,,,,,,,,,,,,,
https://www.google.ca/maps/place/GOLFTEC+Calgary+Beacon+Hill/data=!4m7!3m6!1s0x53716878c319ad85:0x2f29b046bf0314b8!8m2!3d51.1594897!4d-114.1630406!16s%2Fg%2F11b5wch6_3!19sChIJha0Zw3hocVMRuBQDv0awKS8?authuser=0&hl=en&rclk=1,GOLFTEC Calgary Beacon Hill,4.8,-60,Golf instructor,11877 Sarcee Trail NW Unit 370,,,,,,,,,,,,,,,,,,,,,,,
