map_url,Name,MW4etd,UY7F9,W4Efsd,W4Efsd 2,W4Efsd 3,W4Efsd 4,FQ2IWe src,ah5Ghc,W4Efsd 5,doJOZc,W4Efsd 6,Jn12ke src
https://www.google.ca/maps/place/Par+94+Golf+Fredericton/data=!4m7!3m6!1s0x4ca419d460e3f65d:0xd0afc4078bc60db6!8m2!3d45.9636171!4d-66.6450543!16s%2Fg%2F11q255jc5d!19sChIJXfbjYNQZpEwRtg3GiwfEr9A?authuser=0&hl=en&rclk=1,Par 94 Golf Fredericton,4.7,-55,Indoor golf course,·,320 Queen St,Open,https://lh5.googleusercontent.com/p/AF1QipNLycRm3e4r51WU19YN6EdhdSxBm3JZwTWitu1R=w123-h92-k-no,⋅ Closes 10 p.m.,,320 Queen St,,
https://www.google.ca/maps/place/Par+94+Golf+Halifax/data=!4m7!3m6!1s0x4b5a233f92245023:0xb002ba149d8b2302!8m2!3d44.6422197!4d-63.5755962!16s%2Fg%2F11s8hbtrn7!19sChIJI1Akkj8jWksRAiOLnRS6ArA?authuser=0&hl=en&rclk=1,Par 94 Golf Halifax,4.4,-22,Indoor golf course,·,5475 Clyde St,Open,https://lh5.googleusercontent.com/p/AF1QipMwGyZlZcKYmJq2WcpZMrnOsl-sw6dfb80r82iE=w122-h92-k-no,"""Easy to get too with lots of parking behind the library.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png,⋅ Closes 10 p.m.,,5475 Clyde St
https://www.google.ca/maps/place/Peter+Dunmore+Putting/data=!4m7!3m6!1s0x4b598fe00a9ea737:0x2f95b167d97d47f0!8m2!3d44.7528115!4d-63.7710832!16s%2Fg%2F11lv28n3dk!19sChIJN6eeCuCPWUsR8Ed92WexlS8?authuser=0&hl=en&rclk=1,Peter Dunmore Putting,5,-6,Golf instructor,·,40 Club House Ln,Open 24 hours,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,Onsite services,,,,
https://www.google.ca/maps/place/Riverdale+Fun+Centre/data=!4m7!3m6!1s0x4b0cb8057add68f1:0xec902d8437b4c0b3!8m2!3d47.4915401!4d-53.0295312!16s%2Fg%2F1wn337rw!19sChIJ8WjdegW4DEsRs8C0N4QtkOw?authuser=0&hl=en&rclk=1,Riverdale Fun Centre,4.6,-120,Bar,·,,·,939 Conception Bay Hwy,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipMByRWt9i2VWc-WkMy3y79Kn3a4h7hsq6e1Myiw=w216-h92-k-no,"""Bowling, Arcade Centre,",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/RJS+Custom+Clubs+c%2Fo+Bob+Spicer/data=!4m7!3m6!1s0x4b598a058b051183:0xb47a68e1d3576892!8m2!3d44.7004878!4d-63.7388062!16s%2Fg%2F1261_pr14!19sChIJgxEFiwWKWUsRkmhX0-FoerQ?authuser=0&hl=en&rclk=1,RJS Custom Clubs c/o Bob Spicer,5,-21,Indoor golf course,·,261 Lewis Lake Terrace,,https://lh5.googleusercontent.com/p/AF1QipOUBtpigfaBjZaiL_ud-YwCQhmsTtZVwUPD3kE8=w80-h106-k-no,,,,261 Lewis Lake Terrace,
https://www.google.ca/maps/place/Rocky+Knoll+Country+Club/data=!4m7!3m6!1s0x4cae4c735639591d:0xb4c2c86c1b5fcee4!8m2!3d44.7578513!4d-68.7826836!16s%2Fg%2F1tzzv2w5!19sChIJHVk5VnNMrkwR5M5fG2zIwrQ?authuser=0&hl=en&rclk=1,Rocky Knoll Country Club,4.2,-91,Golf course,·,·,Closed,https://lh5.googleusercontent.com/p/AF1QipOHD_AROlzzRWgko9k7XYvOXQGXYpmJc3HHX-AA=w80-h106-k-no,"""Greens are in great shape.""",⋅ Opens 2 p.m. Wed,,94 River Rd,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Rocky+Knoll+Country+Club/data=!4m7!3m6!1s0x4cae4c735639591d:0xb4c2c86c1b5fcee4!8m2!3d44.7578513!4d-68.7826836!16s%2Fg%2F1tzzv2w5!19sChIJHVk5VnNMrkwR5M5fG2zIwrQ?authuser=0&hl=en&rclk=1,Rocky Knoll Country Club,4.2,-91,Golf course,·,·,Closed,https://lh5.googleusercontent.com/p/AF1QipOHD_AROlzzRWgko9k7XYvOXQGXYpmJc3HHX-AA=w80-h106-k-no,⋅ Opens 2 p.m. Wed,,94 River Rd,"""Greens are in great shape.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Saltwater+Golf/data=!4m7!3m6!1s0x4b597f67bbe9265d:0x93ec1a9aa0f5b8d2!8m2!3d44.9383667!4d-63.5347836!16s%2Fg%2F11x262t7ts!19sChIJXSbpu2d_WUsR0rj1oJoa7JM?authuser=0&hl=en&rclk=1,Saltwater Golf,5,-3,Indoor golf course,·,192 Hwy 2 Unit B,Closed,https://lh5.googleusercontent.com/p/AF1QipPYWY9wsYfB9o3WR1aT0ZKl5mSLYb2IOYjsbf7i=w80-h106-k-no,,⋅ Opens 3 p.m. Wed,,,
https://www.google.ca/maps/place/SebTGolf+Academy+@+Mountain+Woods+Golf+Club/data=!4m7!3m6!1s0x4ca0c15d9a74355f:0xadd31547e2b31ecb!8m2!3d46.1332932!4d-64.8783128!16s%2Fg%2F11l692chnn!19sChIJXzV0ml3BoEwRyx6z4kcV060?authuser=0&hl=en&rclk=1,SebTGolf Academy @ Mountain Woods Golf Club,5,-45,Golf instructor,·,1 Tee Time Dr,Open,https://lh5.googleusercontent.com/p/AF1QipM7osdMIGxeS0v_nWufydZqjbX3-AFkoseUuDNY=w80-h106-k-no,"""Lessons can be a humbling experience, to say the least.""",⋅ Closes 6 p.m.,,,https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Simcity+indoor+golf+simulator/data=!4m7!3m6!1s0x4cafb50014719293:0xfe5d42757053d630!8m2!3d44.8406777!4d-68.7464986!16s%2Fg%2F11vyrtw31c!19sChIJk5JxFAC1r0wRMNZTcHVCXf4?authuser=0&hl=en&rclk=1,Simcity indoor golf simulator,5,-3,Indoor golf course,·,930 Stillwater Ave,Open,https://lh5.googleusercontent.com/p/AF1QipMz4aWbscPy80S23eYFe1nQqUGfOloPIhvmnltV=w224-h92-k-no,,⋅ Closes 9 p.m.,,,
