hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,ah5Ghc,Jn12ke src
https://www.google.ca/maps/place/Golf+v.2+-+Brooklyn+Heights/data=!4m7!3m6!1s0x89c25ba356c1c52d:0x9658e41a0a78142d!8m2!3d40.694724!4d-73.9948612!16s%2Fg%2F11w8xmxdnt!19sChIJLcXBVqNbwokRLRR4ChrkWJY?authuser=0&hl=en&rclk=1,Golf v.2 - Brooklyn Heights,4.8,-13,Indoor golf course,·,,·,116 Montague St,Open,⋅ Closes 8 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np7W1qK9Xw9wXNM1PG75cgTM2ZbmK2UD8k1V62M9OqfXtXGDk0_KbDHEBvEesiOfyGPo8sEdcCPi4LHMSK60N1q36v7WTJd_-VAaW1g-gfGWGUSU0W4M0w2Jcnj6zzlNwLfCPgjkQ=w122-h92-k-no,"""They use trackman technology and have 4 hitting bays.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/LoftLinks+-+Upper+East+Side+Golf/data=!4m7!3m6!1s0x89c259acccdc7b11:0xe27612add7a09fe!8m2!3d40.7797929!4d-73.9539596!16s%2Fg%2F11j4vrg87f!19sChIJEXvczKxZwokR_gl63SphJw4?authuser=0&hl=en&rclk=1,LoftLinks - Upper East Side Golf,4.5,-37,Indoor golf course,·,,·,177 E 87th St Suite 200,Open,⋅ Closes 8 p.m.,https://lh3.googleusercontent.com/p/AF1QipNdMvMWycyJupwDcIjI9_GgMq8eds4H7FP6LqX_=w138-h92-k-no,Onsite services,
https://www.google.ca/maps/place/GolfCave/data=!4m7!3m6!1s0x89c3a168adf8d131:0x3008a2859b0b6f93!8m2!3d40.8618624!4d-74.5674246!16s%2Fg%2F11vkch5jc9!19sChIJMdH4rWihw4kRk28Lm4WiCDA?authuser=0&hl=en&rclk=1,GolfCave,5,-32,Indoor golf course,·,,·,477 NJ-10 Unit# 17,Open,⋅ Closes 9:15 p.m.,https://lh3.googleusercontent.com/p/AF1QipMWNVt_AuD-4aFLcxjPY07BLDYrbrU8V8u3iQ_7=w128-h92-k-no,"""The monthly tournaments provide a fun way to compete with other members.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Ready+to+Golf/data=!4m7!3m6!1s0x89c2fb7abf73fdb1:0x90962e5e79ed9a36!8m2!3d40.9137976!4d-74.0338317!16s%2Fg%2F11pws7p487!19sChIJsf1zv3r7wokRNprteV4ulpA?authuser=0&hl=en&rclk=1,Ready to Golf,4.8,-144,Indoor golf course,·,,·,3 New Bridge Rd,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJWByXyz3g35kn_WRj7s4_AE6gKekXkI1cYt4qK6oj_yRAewz7IuGYMYSXhElaVa0AB-DsAcPHNs33SF9hpLxAip_qFi0MtiIJjIT3vKX-Qg6Dlc5lFW6r0ovz7N_9=w122-h92-k-no,"""The staff is so nice, the facility is clean and the simulators are awesome.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/X-Golf+Easton/data=!4m7!3m6!1s0x89c46bc8f3716f5b:0x777f88d262f0d7ee!8m2!3d40.6846163!4d-75.2538936!16s%2Fg%2F11lkt7fgkt!19sChIJW29x88hrxIkR7tfwYtKIf3c?authuser=0&hl=en&rclk=1,X-Golf Easton,4.4,-74,Indoor golf course,·,,·,80 Kunkle Dr,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/p/AF1QipO-oswaN_gKDm_aslr2aA1tJiBMVxMyQ7ALFIoA=w137-h92-k-no,Dine-in,
"https://www.google.ca/maps/place/The+Back+Nine+Golf+%7C+Pompton+Plains,+NJ/data=!4m7!3m6!1s0x89c303676ba0221d:0xdbcc72009d7ce257!8m2!3d40.9697173!4d-74.2853512!16s%2Fg%2F11w824rhbc!19sChIJHSKga2cDw4kRV-J8nQByzNs?authuser=0&hl=en&rclk=1","The Back Nine Golf | Pompton Plains, NJ",5,-23,Indoor golf course,·,,·,566 NJ-23,Open,⋅ Closes 9 p.m.,https://lh3.googleusercontent.com/p/AF1QipOzPdA7GkVWeM1ZrmUuMQnYQmBAPXb18NiE0zWk=w138-h92-k-no,Onsite services,
https://www.google.ca/maps/place/Konnectgolf/data=!4m7!3m6!1s0x89c258fef4c3ffff:0x288658997c0c5774!8m2!3d40.7571637!4d-73.9786641!16s%2Fg%2F11f519y7hl!19sChIJ___D9P5YwokRdFcMfJlYhig?authuser=0&hl=en&rclk=1,Konnectgolf,4.9,-109,Indoor golf course,·,,·,590 5th Ave Floor 2,Open,⋅ Closes 5 p.m.,https://lh3.googleusercontent.com/p/AF1QipMs9ck017_IQcj1SEp0wHmyqwm5Ylr1RIsuUK7o=w105-h92-k-no,"""Good food and drinks, big putting green, and a great simulator experience.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Millburn+Indoor+Golf+Club/data=!4m7!3m6!1s0x89c3ad00309f6abd:0x43a5cae0ee254c4f!8m2!3d40.7231354!4d-74.3093755!16s%2Fg%2F11y5vnb8jd!19sChIJvWqfMACtw4kRT0wl7uDKpUM?authuser=0&hl=en&rclk=1,Millburn Indoor Golf Club,5,-9,Indoor golf course,·,,·,378 Millburn Ave,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNvHbPEC9qIg_k58806N-kwaA0d6keFJvwMCv7q=w80-h106-k-no,"""Huge amount of courses to choose from within the simulator.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Cranford+Golf+Studio/data=!4m7!3m6!1s0x89c3b3625117cc2d:0xd57495dac90c9872!8m2!3d40.6556843!4d-74.3054758!16s%2Fg%2F11v_194nzl!19sChIJLcwXUWKzw4kRcpgMydqVdNU?authuser=0&hl=en&rclk=1,Cranford Golf Studio,5,-11,Indoor golf course,·,,·,15 Eastman St,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrJEonLTWGHm5GfpIoGQjg3eDdjivt3tqWOdUVMZuyDoRWTdoz5fV4DjXYwG05CCLw6yhePOPTMtqihGNwQM5lP2xfHlBB_O85hFVNjktPM0itATR4wyA2aE3coa_zl2dEeWPa8=w80-h106-k-no,"""Amazing space, high end technology and a fun atmosphere.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Five+Iron+Golf/data=!4m7!3m6!1s0x89c259bf528f3d2d:0x509203fbc8329acd!8m2!3d40.7839425!4d-73.9499197!16s%2Fg%2F11tx0_jd0_!19sChIJLT2PUr9ZwokRzZoyyPsDklA?authuser=0&hl=en&rclk=1,Five Iron Golf,5,-222,Indoor golf course,·,,·,1681 3rd Ave,Open,⋅ Closes 1 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNVgu_9YxB5Wez9jBiwRkRKyIiZ2PpfQjx8oiAvdJdI-egdcAqjeVNbqG2FIYU_28gNywIo1PwEHDiyJv9CQPU-Zmkrlwm6RpaoObpNhTf7QgNn0D5bNKLZSQTsrtnO2K5ifozgg=w80-h106-k-no,Onsite services,
https://www.google.ca/maps/place/The+Hack+Shack/data=!4m7!3m6!1s0x89c259a7483198c9:0xa913f4f3bb6b7cd3!8m2!3d40.7530233!4d-73.986164!16s%2Fg%2F1t_wq86n!19sChIJyZgxSKdZwokR03xru_P0E6k?authuser=0&hl=en&rclk=1,The Hack Shack,4.7,-73,Indoor golf course,·,,·,108 W 39th St Suite #310,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/p/AF1QipM0sdJ0HRF2TrR5KRpxdZGHOKR7Ty171dmO4hPk=w80-h120-k-no,"""Friendly staff, great club selection, best simulator in the city""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/The+Greens+Golf+Lounge/data=!4m7!3m6!1s0x89c30104985455c1:0xd3afb95d70bc81a9!8m2!3d40.8427618!4d-74.2808272!16s%2Fg%2F11x1l2bp7n!19sChIJwVVUmAQBw4kRqYG8cF25r9M?authuser=0&hl=en&rclk=1,The Greens Golf Lounge,5,-16,Indoor golf course,·,,·,459 Bloomfield Ave,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipP7rRMEKdznptpOxBcSbQ8wVuThHoI2PWU6GZt0=w80-h142-k-no,"""$50/hr for a bay (up to 4 people).""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Golf+Paradise+Club/data=!4m7!3m6!1s0x89c3014b02b79827:0x5fa41ecfa1fb7d11!8m2!3d40.8349373!4d-74.2251461!16s%2Fg%2F11w9g8k8wr!19sChIJJ5i3AksBw4kREX37oc8epF8?authuser=0&hl=en&rclk=1,Golf Paradise Club,4.9,-47,Indoor golf course,·,,·,311 Pompton Ave,Open,⋅ Closes 12 a.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrG-Huoc4Gnsg6FcIlc-1H7Mp0VECaWBC6mEYy6YxXNfRQ6miR5JiBmqSlWyDXUvTqb4y3obtwuBEP0PtzZXYEoMLmhD3IpBFkBtsk3PlBjpij5IAOuQO6LOeaph6pl2sqflKA=w80-h106-k-no,"""Great vibe, nice staff, and good simulators from Golfzon""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Bergen+Golf+Zone/data=!4m7!3m6!1s0x89c2e16acbe0b2ad:0x4d19334d6b81fdf7!8m2!3d41.074528!4d-74.140267!16s%2Fg%2F11wp7_q8z2!19sChIJrbLgy2rhwokR9_2Ba00zGU0?authuser=0&hl=en&rclk=1,Bergen Golf Zone,5,-4,Indoor golf course,·,,50 Spring St,,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdfxZRNtqQ2URY7JriCR3d20aVFbrGhXEVKMleMUKob6Mr6u8SH_vva92MOBKAYME-HjXGTqYzWWJvUIIXTRUnNPzQm9M6RvbLpSxdTMVLLK3ImLMiq9h7Px2I5KcUt_YAvzu_ZQ=w122-h92-k-no,"""Even as a beginner I had a blast hitting on the simulator!""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Go+Low+Indoor+Golf/data=!4m7!3m6!1s0x89c2fb933963d855:0x92d5c8fe7d4accea!8m2!3d40.9491208!4d-74.0676481!16s%2Fg%2F11ll1p1b3s!19sChIJVdhjOZP7wokR6sxKff7I1ZI?authuser=0&hl=en&rclk=1,Go Low Indoor Golf,5,-32,Indoor golf course,·,,·,49 E Midland Ave,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npq8PNlL1B5ol_5ZNl7e63sclPw3FwsQ3CpOfJBBMTp_ePHxL-bzhSDibRLZJ0HHU-Q4pKzvUdqNiuKnTZc_GOkeT-PcKnFvOx30hGoNbsqo87PKeGp5S8sk4awd2tKQQMJE8jh=w80-h106-k-no,Onsite services,
https://www.google.ca/maps/place/Greens+Indoor+Golf+%26+Cafe/data=!4m7!3m6!1s0x89c3ac44fa09563f:0xfa88415cb0e68654!8m2!3d40.7305699!4d-74.2791399!16s%2Fg%2F11cjnpl7z1!19sChIJP1YJ-kSsw4kRVIbmsFxBiPo?authuser=0&hl=en&rclk=1,Greens Indoor Golf & Cafe,4.6,-38,Indoor golf course,·,,·,97 Baker St,Open,⋅ Closes 11 p.m.,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq9OrWaZO2jf9FHgFBa-pZmJOfstMaKh1VdIBPOoQwDZHhxz8m_Om-vM8vNrUhqqxAOE_m24A8LYcBtY9jepgTTXBPbzsVrac49xbP8XFGTGBznRvZdgF7q0ugE2w-TRNhrulou=w80-h106-k-no,"""Greens Indoor Golf & Cafe was surprisingly really cool.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/The+Green+973/data=!4m7!3m6!1s0x89c36d5163c91e45:0x72d30391e16b15f7!8m2!3d41.0814457!4d-74.6534465!16s%2Fg%2F11sdn8xd6m!19sChIJRR7JY1Ftw4kR9xVr4ZED03I?authuser=0&hl=en&rclk=1,The Green 973,4.9,-188,Indoor golf course,·,,·,10 Park Lake Rd,Open,⋅ Closes 10 p.m.,https://lh3.googleusercontent.com/p/AF1QipPOkzAOegz8MTRmY12oTXqv_u7ob-NHf2aiyLsV=w92-h92-k-no,Onsite services,
https://www.google.ca/maps/place/Ready+Golf+Club/data=!4m7!3m6!1s0x89c25915a4632a33:0x73e262a5b2c81f1d!8m2!3d40.7266026!4d-73.9888109!16s%2Fg%2F11wjc0bjp7!19sChIJMypjpBVZwokRHR_IsqVi4nM?authuser=0&hl=en&rclk=1,Ready Golf Club,5,-26,Indoor golf course,·,,300 E 5th St,,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNtqkTbC8zA5CjDXYNSBmN-2ypujwkN654NHFx2=w122-h92-k-no,"""High quality simulators at a very reasonable price.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
