map url,Name,rating,reviews,keyword,Address,city,postal,state,country,region,website link,website short,,,FQ2IWe src,ah5Ghc,Jn12ke src
https://www.google.ca/maps/place/Meilleure+Balle+-+Golf+int%C3%A9rieur+Longueuil/data=!4m7!3m6!1s0x4cc905310feeef4b:0xc6071d0e16bd6000!8m2!3d45.5232845!4d-73.4846062!16s%2Fg%2F11wnn6wws3!19sChIJS-_uDzEFyUwRAGC9Fg4dB8Y?authuser=0&hl=en&rclk=1,Meilleure Balle - Golf intérieur Longueuil,5,-4,Indoor golf course,550 Boulevard Curé-Poirier O,,,qc,can,,,,Open,⋅ Closes 10 p.m.,https://lh5.googleusercontent.com/p/AF1QipPPCaSj1yMo2J8wGtR0iSHmZvZFi2KRscstTqU1=w163-h92-k-no,Onsite services,
https://www.google.ca/maps/place/Zone+GolfIn+Sherbrooke/data=!4m7!3m6!1s0x4cb7b5d249475985:0xd2a5af7efd0dbbf9!8m2!3d45.396491!4d-71.9473373!16s%2Fg%2F11j3xm5l9t!19sChIJhVlHSdK1t0wR-bsN_X6vpdI?authuser=0&hl=en&rclk=1,Zone GolfIn Sherbrooke,4.7,-26,Indoor golf course,3025 Rue King Ouest #79,,,qc,can,,,,Closes soon,⋅ 6 p.m. ⋅ Opens 9 a.m. Mon,https://lh5.googleusercontent.com/p/AF1QipONf5Ti0knXkJAkA_Ew0jLysndBaI-8tgCzIo1L=w80-h106-k-no,"""They also give discount for students and kids.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/GENERATION+GOLF+PIERREFONDS/data=!4m7!3m6!1s0x4cc93b242c9d7aab:0xf531e508c27d7754!8m2!3d45.5066467!4d-73.8226226!16s%2Fg%2F11k57g_40s!19sChIJq3qdLCQ7yUwRVHd9wgjlMfU?authuser=0&hl=en&rclk=1,GENERATION GOLF PIERREFONDS,4.3,-6,Indoor golf course,11841 Pierrefonds Blvd.,,,qc,can,,,,Open,⋅ Closes 3 a.m.,https://lh5.googleusercontent.com/p/AF1QipNAU_rQd9Y592wZnsH95aqRYQcl3g3LLpUgbzoT=w138-h92-k-no,"""Great simulators.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Golf+Virtuel+Agmm/data=!4m7!3m6!1s0x4cc7c8f9e4f45287:0x818ab069caa3b185!8m2!3d46.3410107!4d-72.5525024!16s%2Fg%2F1tj7v_7g!19sChIJh1L05PnIx0wRhbGjymmwioE?authuser=0&hl=en&rclk=1,Golf Virtuel Agmm,4.6,-31,Indoor golf course,1930 Rue Bellefeuille,,,qc,can,,,,Open,⋅ Closes 10 p.m.,https://lh5.googleusercontent.com/p/AF1QipPlAxMXvbhlZOFcXzCtKxbPP-RqT89XQM1li-rF=w122-h92-k-no,,
https://www.google.ca/maps/place/GOLF+18+Repentigny/data=!4m7!3m6!1s0x4cc8e5e849e99c11:0x4e10a6ecdebc2168!8m2!3d45.7505836!4d-73.4429866!16s%2Fg%2F1td5qwqj!19sChIJEZzpSejlyEwRaCG83uymEE4?authuser=0&hl=en&rclk=1,GOLF 18 Repentigny,4.6,-101,Indoor golf course,591 Iberville Blvd,,,qc,can,,,,Open,⋅ Closes 12 a.m.,https://lh5.googleusercontent.com/p/AF1QipOFJdHunHyZT3T5gId5-nsaXTi9Jac9yUKdEnB4=w138-h92-k-no,,
https://www.google.ca/maps/place/Golf+Virtuel+Nxt+Generation+%28sur+r%C3%A9servation+seulement%29+-+Simulateur+de+golf+%C3%A0+Saint-Henri+%28Montreal%29/data=!4m7!3m6!1s0x4cc9110dc22de24f:0x57c1c648237eabfb!8m2!3d45.469251!4d-73.5864466!16s%2Fg%2F11tc8yl2kq!19sChIJT-Itwg0RyUwR-6t-I0jGwVc?authuser=0&hl=en&rclk=1,Golf Virtuel Nxt Generation (sur réservation seulement) - Simulateur de golf à Saint-Henri (Montreal),5,-4,Indoor golf course,4800 Rue Saint-Ambroise #112G,,,qc,can,,,,Closes soon,⋅ 6 p.m. ⋅ Opens 9 a.m. Mon,https://lh5.googleusercontent.com/p/AF1QipOvJ5ZGVXVMNajXE_ABDKEujSKz3iHMKWOxo4iD=w80-h142-k-no,"""Great facility and staff was really nice""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/INTERGOLF+2022+inc/data=!4m7!3m6!1s0x4cc9c943e684c8a5:0x811d3f4c7fcb47a9!8m2!3d45.4248761!4d-72.8121359!16s%2Fg%2F1thlmptx!19sChIJpciE5kPJyUwRqUfLf0w_HYE?authuser=0&hl=en&rclk=1,INTERGOLF 2022 inc,4.3,-47,Indoor golf course,1586 Rue Principale,,,qc,can,,,,Open,⋅ Closes 9 p.m.,https://lh5.googleusercontent.com/p/AF1QipMuIC0w5cQ3K3s8UwrNrGBrZ8qg5M11xcO6plu6=w163-h92-k-no,Onsite services,
https://www.google.ca/maps/place/Golf+chez+Didi/data=!4m7!3m6!1s0x4cc957284ee630d9:0xe340ae1b6413645a!8m2!3d45.1627161!4d-74.1947387!16s%2Fg%2F11y9phgv47!19sChIJ2TDmTihXyUwRWmQTZBuuQOM?authuser=0&hl=en&rclk=1,Golf chez Didi,5,-4,Indoor golf course,17 Mnt du Lac,,,qc,can,,,,Open,⋅ Closes 10 p.m.,https://lh5.googleusercontent.com/p/AF1QipOuuQMgI_AZdTrkI7dcyXsfB3r40SMSK6YoCS9E=w80-h106-k-no,,
https://www.google.ca/maps/place/Saison+Golf+Lachute/data=!4m7!3m6!1s0x4ccedbb854f165fb:0x2e36b87169143dad!8m2!3d45.638998!4d-74.3270396!16s%2Fg%2F11wtfvtc6n!19sChIJ-2XxVLjbzkwRrT0UaXG4Ni4?authuser=0&hl=en&rclk=1,Saison Golf Lachute,4.3,-23,Indoor golf course,505 Av. Béthany,,,qc,can,,,,Open,⋅ Closes 8 p.m.,https://lh5.googleusercontent.com/p/AF1QipOwI3tFQeVch1s7lWCY4VaIfDjfaYWNpKIaSaLG=w80-h100-k-no,"""Screen and equipment work well.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.ca/maps/place/Putting+Edge+Spheretech/data=!4m7!3m6!1s0x4cc917f844c948d5:0xffcd1150c4aa940c!8m2!3d45.4940192!4d-73.705914!16s%2Fg%2F1tgz52qt!19sChIJ1UjJRPgXyUwRDJSqxFARzf8?authuser=0&hl=en&rclk=1,Putting Edge Spheretech,4.2,-556,Indoor golf course,3500 Boulevard Cote Vertu Ouest Suite 140,,,qc,can,,,,Open,⋅ Closes 7 p.m.,https://lh5.googleusercontent.com/p/AF1QipOh7wSRF5_iIT-POmsmJjV4b2wRb2pOxkEh_Ogn=w138-h92-k-no,"""Staff is helpful and friendly, they even have a little slide inside 🤩""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
